"선명","역명","경도","위도","gu","dong"
"신분당선","청계산입구",127.055664,37.447211,"서초구","양재2동"
"신분당선","강남",127.027926,37.497175,"서초구","서초2동"
"신분당선","양재",127.034631,37.484147,"서초구","양재1동"
"신분당선","양재시민의숲(매헌)",127.03842,37.470023,"서초구","양재2동"
