"전철역명","호선","gu","dong","x","y"
"내방역","07호선","서초구","방배1동","126.993600180589","37.4876585212369"
"이수역","07호선","서초구","방배4동","126.982211871752","37.4867995957995"
"남성역","07호선","동작구","사당3동","126.97091020065321","37.484793511299706"
"숭실대입구역","07호선","동작구","상도1동","126.953621963422","37.4963172817574"
"상도역","07호선","동작구","상도1동","126.947917975554","37.5028706251049"
"춘의역","07호선","부천시","부천동","126.786996627015","37.5036991939036"
"신중동역","07호선","부천시","신중동","126.776897204578","37.5029525402622"
"모란역","08호선","성남시 수정구","수진2동","127.129970457799","37.4340382896277"
"종로3가역","03호선","종로구","종로1.2.3.4가동","126.992153252476","37.570420844523"
"종로3가역","03호선","종로구","종로1.2.3.4가동","126.992153252476","37.570420844523"
"종로3가역","03호선","종로구","종로1.2.3.4가동","126.992153252476","37.570420844523"
"을지로3가역","03호선","중구","을지로동","126.9909855674","37.5662905969967"
"을지로3가역","03호선","중구","을지로동","126.9909855674","37.5662905969967"
"충무로역","03호선","중구","필동","126.994150735779","37.5613965840169"
"충무로역","03호선","중구","필동","126.994150735779","37.5613965840169"
"동대입구역","03호선","중구","장충동","127.005314877093","37.5590540173075"
"약수역","03호선","중구","약수동","127.010891666957","37.5545053994984"
"약수역","03호선","중구","약수동","127.010891666957","37.5545053994984"
"금호역","03호선","성동구","금호2.3가동","127.015829169834","37.5482627248715"
"옥수역","03호선","성동구","옥수동","127.017393782846","37.5415662783673"
"압구정역","03호선","강남구","압구정동","127.0285086593","37.5264921751712"
"신사역","03호선","강남구","논현1동","127.020310824772","37.5164350739218"
"잠원역","03호선","서초구","잠원동","127.011419491429","37.5128899169357"
"고속터미널역","03호선","서초구","반포4동","127.00512100860232","37.5045470535618"
"고속터미널역","03호선","서초구","반포4동","127.00512100860232","37.5045470535618"
"교대역","03호선","서초구","서초1동","127.013867969161","37.4927431676548"
"교대역","03호선","서초구","서초1동","127.013867969161","37.4927431676548"
"남부터미널역","03호선","서초구","서초1동","127.01620028391","37.4851996335293"
"양재역","03호선","강남구","도곡1동","127.034164133397","37.4845759109484"
"매봉역","03호선","강남구","도곡1동","127.046711448388","37.4869394661317"
"도곡역","03호선","강남구","대치1동","127.055497705714","37.4909757841747"
"언주역","09호선","강남구","역삼1동","127.033970921595","37.5073353959717"
"선정릉역","09호선","강남구","삼성2동","127.043627289129","37.5109326388803"
"삼성중앙역","09호선","강남구","삼성2동","127.053043676912","37.5129614511319"
"학여울역","03호선","강남구","대치2동","127.071166599707","37.4968851977644"
"대청역","03호선","강남구","일원2동","127.07952699005","37.4937083222418"
"일원역","03호선","강남구","일원본동","127.084129757128","37.4839886684666"
"수서역","03호선","강남구","수서동","127.102410530715","37.487560248798"
"가락시장역","03호선","송파구","가락본동","127.118262745146","37.4930992522183"
"가락시장역","03호선","송파구","가락본동","127.118262745146","37.4930992522183"
"경찰병원역","03호선","송파구","가락본동","127.124482397777","37.4960049150853"
"오금역","03호선","송파구","오금동","127.127953219596","37.5021388575469"
"오금역","03호선","송파구","오금동","127.127953219596","37.5021388575469"
"당고개역","04호선","노원구","상계3.4동","127.079066619316","37.6702168353314"
"상계역","04호선","노원구","상계5동","127.073421632239","37.660720544722"
"노원역","04호선","노원구","상계2동","127.063449137455","37.6563403513278"
"노원역","04호선","노원구","상계2동","127.063449137455","37.6563403513278"
"창동역","04호선","도봉구","창5동","127.047644999036","37.6533385121404"
"쌍문역","04호선","도봉구","창1동","127.03465609756","37.6485426057036"
"수유역","04호선","강북구","번1동","127.025510241279","37.637884492978"
"미아역","04호선","강북구","미아동","127.026041090189","37.6266544891889"
"미아사거리역","04호선","강북구","송중동","127.030086636648","37.6132792649944"
"길음역","04호선","성북구","길음1동","127.02505906491119","37.603394782557096"
"신대방삼거리역","07호선","동작구","대방동","126.92821094566965","37.499757228908564"
"봉은사역","09호선","강남구","삼성1동","127.060233935114","37.5142554489848"
"종합운동장역","09호선","송파구","잠실2동","127.073849447402","37.5111446632705"
"종합운동장역","09호선","송파구","잠실2동","127.073849447402","37.5111446632705"
"성신여대입구역","04호선","성북구","동선동","127.017124928876","37.5929699315407"
"한성대입구역","04호선","성북구","성북동","127.006018948943","37.5884228114979"
"혜화역","04호선","종로구","이화동","127.001942745502","37.5820439179086"
"동대문역","04호선","종로구","창신2동","127.010631546623","37.5716676040162"
"동대문역","04호선","종로구","창신2동","127.010631546623","37.5716676040162"
"동대문역사문화공원","04호선","중구","광희동","127.009005301929","37.5656635044556"
"동대문역사문화공원","04호선","중구","광희동","127.009005301929","37.5656635044556"
"동대문역사문화공원","04호선","중구","광희동","127.009005301929","37.5656635044556"
"충무로역","04호선","중구","필동","126.994150735779","37.5613965840169"
"충무로역","04호선","중구","필동","126.994150735779","37.5613965840169"
"명동역","04호선","중구","명동","126.986400086711","37.5609634671841"
"회현역","04호선","중구","회현동","126.97843725718793","37.558760244882336"
"서울역","04호선","중구","회현동","126.972091251236","37.5559802396321"
"서울역","04호선","중구","회현동","126.972091251236","37.5559802396321"
"숙대입구역","04호선","용산구","남영동","126.972118127373","37.5445952301115"
"삼각지역","04호선","용산구","한강로동","126.972922951307","37.5344393447708"
"삼각지역","04호선","용산구","한강로동","126.972922951307","37.5344393447708"
"신용산역","04호선","용산구","한강로동","126.967965039183","37.5292591489375"
"이촌역","04호선","용산구","이촌1동","126.97354268961969","37.52241291383126"
"동작역","04호선","동작구","사당2동","126.980317100738","37.5029777751104"
"총신대입구역","04호선","서초구","방배4동","126.982211871752","37.4867995957995"
"사당역","04호선","동작구","사당1동","126.981558584016","37.4765604303289"
"사당역","04호선","동작구","사당1동","126.981558584016","37.4765604303289"
"남태령역","04호선","서초구","방배2동","126.989085267707","37.4642499558525"
"방화역","05호선","강서구","방화3동","126.812819296675","37.5776031994404"
"개화산역","05호선","강서구","방화2동","126.806814314979","37.5725371505293"
"김포공항역","05호선","강서구","공항동","126.80191588831","37.5619657741382"
"송정역","05호선","강서구","공항동","126.812430347154","37.5611612387718"
"마곡역","05호선","강서구","공항동","126.82469691791624","37.56022863776301"
"발산역","05호선","강서구","가양1동","126.837738666588","37.5586795483395"
"우장산역","05호선","강서구","우장산동","126.836325138536","37.5488170866429"
"화곡역","05호선","강서구","화곡본동","126.840455026335","37.5416507925709"
"까치산역","05호선","강서구","화곡8동","126.846444264065","37.5322306724471"
"까치산역","05호선","강서구","화곡8동","126.846444264065","37.5322306724471"
"신정역","05호선","양천구","신정4동","126.856097474225","37.5250276134139"
"목동역","05호선","양천구","목1동","126.864625274831","37.5261333139242"
"오목교역","05호선","양천구","목1동","126.875307312696","37.5245340839144"
"양평역","05호선","영등포구","양평1동","126.886419282885","37.5255796429707"
"영등포구청역","05호선","영등포구","당산1동","126.89667739939","37.5258305311402"
"영등포구청역","05호선","영등포구","당산1동","126.89667739939","37.5258305311402"
"영등포시장역","05호선","영등포구","영등포동","126.905179566968","37.522709383885"
"신길역","05호선","영등포구","신길1동","126.91836721069228","37.51678703217714"
"여의도역","05호선","영등포구","여의동","126.92466104293","37.5211700890445"
"여의나루역","05호선","영등포구","여의동","126.93298596744","37.5271469489465"
"마포역","05호선","마포구","용강동","126.945864834547","37.5395549311262"
"공덕역","05호선","마포구","아현동","126.951451177648","37.5445416897534"
"공덕역","05호선","마포구","아현동","126.951451177648","37.5445416897534"
"애오개역","05호선","마포구","아현동","126.956669363197","37.5534131497489"
