"선명","역명","경도","위도","gu","dong"
"공항","서울역",126.972559,37.554648,"중구","회현동"
"공항","공덕",126.951592,37.544018,"마포구","공덕동"
"공항","홍대입구",126.925381,37.557192,"마포구","서교동"
"공항","디지털미디어시티",126.900984,37.576646,"마포구","상암동"
"공항","김포공항",126.801058,37.562434,"강서구","방화2동"
