"행정구","행정동","20~24세","25~29세","30~34세","35~39세","청년인구","사업체수","종사자수","혼인","대학 수","교통밀접도","완전월세액","행정동코드"
"성동구","송정동",679,1034,840,801,3354,711,2709,52,0,15,1542.37301587302,1104069
"성동구","용답동",812,1257,878,774,3721,1864,13279,39,0,16,1358.10365853659,1104070
"성동구","왕십리도선동",1811,2593,2201,2564,9169,2176,10015,133,0,27,1884,1104071
"성동구","금호2.3가동",1282,1649,1916,2256,7103,1013,2670,145,0,49,882.737698412698,1104072
"성동구","옥수동",1258,1752,2210,2877,8097,868,4189,164,0,42,1694.04583333333,1104073
"광진구","화양동",4140,5513,2764,1619,14036,2447,15023,108,1,18,951.056932966024,1105053
"광진구","군자동",1753,2740,1991,1646,8130,1593,10021,92,1,22,1206.78364978903,1105054
"광진구","중곡1동",1026,1803,1623,1367,5819,1588,6288,145,0,17,1903.69427655678,1105055
"광진구","중곡2동",1393,2522,2067,1865,7847,1674,6959,119,0,16,2088.11788617886,1105056
"광진구","중곡3동",1062,1650,1472,1278,5462,1301,4543,82,0,25,1434.28314393939,1105057
"광진구","중곡4동",1947,2546,2273,2114,8880,1524,4751,117,0,32,1722.51801801802,1105058
"광진구","능동",772,1633,1479,1189,5073,802,5723,83,0,12,1804.54480286738,1105059
"광진구","구의1동",1756,3080,2394,1834,9064,1760,6989,138,0,11,1611.27111486487,1105060
"광진구","구의2동",1692,2085,1796,2079,7652,1309,5912,103,0,23,1346.41123188406,1105061
"광진구","구의3동",2103,2668,2426,2198,9395,2695,16544,127,0,27,1575.7823943662,1105062
"광진구","광장동",2221,1926,1521,2318,7986,1398,16114,85,1,37,1449.31770833333,1105063
"광진구","자양1동",1745,2645,2020,1769,8179,1780,8987,126,0,7,1887.69123931624,1105064
"광진구","자양2동",1670,2189,1935,1999,7793,1433,6095,112,0,20,1952,1105065
"광진구","자양3동",1863,2090,2020,2315,8288,1324,6185,133,0,17,1087.25252525253,1105066
"광진구","자양4동",1050,1657,1332,1280,5319,1817,6171,91,0,13,965.116869918699,1105067
"동대문구","회기동",1573,1605,841,632,4651,1034,10615,42,1,10,1212.58016877637,1106071
"동대문구","휘경1동",1640,1644,1086,1084,5454,929,3558,65,0,17,1817.69482200647,1106072
"동대문구","휘경2동",2781,2543,1492,1526,8342,1221,4930,79,2,17,813.428240740741,1106073
"동대문구","청량리동",1025,1323,1068,1164,4580,1614,8267,81,0,26,447.909375,1106080
"동대문구","용신동",2330,3806,2959,2400,11495,5195,28569,165,0,47,766.971485943775,1106081
