"행정구","행정동","청년인구","사업체수","종사자수","혼인","대학 수","교통밀접도","완전월세액","행정동코드","필요도지수","cluster"
"종로구","사직동",0.150031280213843,0.213710646479212,0.276894310182119,0.0996884735202492,0,0.264705882352941,0.466540001857917,1101053,0.201020801623665,2
"종로구","무악동",0.104589660467497,0.0378514780100937,0.00797758538829915,0.0311526479750779,0,0,0.141271220038302,1101057,0.0029271776703006,3
"종로구","종로1.2.3.4가동",0.101347892851049,0.928562845469839,0.635768421422836,0.0872274143302181,0.25,0.607843137254902,0.0669389590960507,1101061,0.539073062995221,1
"종로구","종로5.6가동",0.0995279531365524,0.433850036049027,0.142166315949895,0.0467289719626168,0,0.127450980392157,0.187309521752345,1101063,0.165703505263722,3
"종로구","이화동",0.163737701188648,0.070535928863254,0.0994179469294209,0.0747663551401869,0.5,0.176470588235294,0.310715937544242,1101064,0.100751591816379,3
"종로구","창신2동",0.11488369447762,0.0508892093246816,0.0113303986448069,0.0903426791277259,0,0,0.361310960829878,1101068,0.0244236217812519,2
"종로구","숭인1동",0.0906557470283797,0.0285988944965153,0.00739729078621126,0.0685358255451713,0,0.0392156862745098,0.259407743475591,1101070,0.0160243861735064,3
"중구","소공동",0.0340101234146619,0.230233117039173,0.374325187716511,0.0218068535825545,0,0.215686274509804,0.0814510400358931,1102052,0.175267475738085,3
"중구","회현동",0.0573281010066542,0.513638548425859,0.263377549046617,0.0311526479750779,0,0.313725490196078,0.125207458464072,1102054,0.249429501170471,3
"중구","명동",0.0400386737189331,0.417447728911319,0.64539896719284,0,0,0.254901960784314,0.152575193718333,1102055,0.284666616683144,3
"중구","필동",0.0743900358300631,0.172374429223744,0.129663604977638,0.0467289719626168,0.5,0.0686274509803922,0.157910503931349,1102057,0.0782701909870842,3
"중구","장충동",0.106921458226696,0.0481855323239606,0.0521561754482629,0.00934579439252336,0,0.0784313725490196,0.207263389179239,1102058,0.0302817191446305,3
"중구","광희동",0.0952624694307001,0.507990867579909,0.212000961296109,0.0654205607476635,0,0.156862745098039,0.102610574780547,1102059,0.212500141541192,3
"중구","을지로동",0.0256497753511915,0.528418649363134,0.205447735385661,0.0155763239875389,0,0.156862745098039,0.130205827997498,1102060,0.18763610280481,3
"중구","황학동",0.275891486094523,0.115957702475366,0.0314179703756675,0.299065420560748,0,0.0490196078431373,0.19039955270148,1102067,0.146915518858444,3
"중구","약수동",0.2505829494398,0.0490266762797404,0.0225025351254081,0.121495327102804,0,0.107843137254902,0.174445233100332,1102071,0.0922410747208376,3
"중구","동화동",0.155718591821646,0.0593607305936073,0.0220511948793398,0.0747663551401869,0,0.0196078431372549,0.579716803512949,1102073,0.0399398197826932,2
"용산구","용산2가동",0.185008246601831,0.0350877192982456,0.0104746106457682,0.130841121495327,0,0.235294117647059,0.0821595798397981,1103052,0.102568403662876,3
"용산구","남영동",0.111528180629017,0.0962509012256669,0.117459833648881,0.0872274143302181,0,0.176470588235294,0.111524519847948,1103053,0.102319094289504,3
"용산구","효창동",0.193027355968834,0.0240927661619803,0.0111311055491404,0.171339563862928,0,0.127450980392157,0.266327049970872,1103058,0.0872329259946854,3
"용산구","이촌1동",0.376784394016948,0.0477649603460707,0.0195190002520471,0.26791277258567,0,0.0980392156862745,0,1103063,0.156968084894707,3
"용산구","이태원1동",0.123073423192857,0.0913842826243691,0.0394072788872411,0.0872274143302181,0,0.117647058823529,0.194385101834163,1103065,0.0701408088786449,3
"용산구","서빙고동",0.18677131320025,0.0238524393174718,0.0257908712039061,0.0872274143302181,0,0.176470588235294,0.363018018555181,1103069,0.079899327133724,2
"용산구","한남동",0.385713473241199,0.124369142033165,0.103374501034566,0.35202492211838,0,0.313725490196078,0.221732166593519,1103074,0.267492004807766,3
"성동구","마장동",0.432576920889496,0.191660658495554,0.0690081651553607,0.314641744548287,0,0.245098039215686,0.197362402785572,1104054,0.265691387942103,3
"성동구","사근동",0.352272080987317,0.0633862052391252,0.0618922293277375,0.199376947040498,0.5,0.313725490196078,0.187473937269073,1104055,0.196917934594635,3
"성동구","행당1동",0.253710970824091,0.0823720259552992,0.0490495477805197,0.208722741433022,0,0.245098039215686,0.203082789802871,1104056,0.165067491815475,3
"성동구","행당2동",0.3810498777228,0.0366498437875511,0.0103573794130232,0.376947040498442,0,0.235294117647059,0.102041814183889,1104057,0.207994892906681,3
"성동구","응봉동",0.225672524597623,0.0211487623167508,0.00436686341975229,0.171339563862928,0,0.235294117647059,0.214343283473205,1104058,0.117190238364879,3
"성동구","금호1가동",0.25865893192288,0.0330449411199231,0.0106504574948858,0.186915887850467,0,0.313725490196078,0.484048747645228,1104059,0.1557385704061,2
"성동구","성수1가2동",0.261047602798157,0.1718336938236,0.12443509199721,0.224299065420561,0,0.0882352941176471,0.134122062284732,1104066,0.171989512106433,3
"성동구","성수2가3동",0.224421316043906,0.347752944003845,0.310463473678657,0.143302180685358,0,0.176470588235294,0.137493570968032,1104068,0.248721908435888,3
"성동구","왕십리도선동",0.519194676676335,0.12971641432348,0.0570447178537306,0.389408099688474,0,0.225490196078431,0.300949399663158,1104071,0.277510371676925,3
"성동구","금호2.3가동",0.401694818859125,0.0598413842826244,0.0139915476281191,0.426791277258567,0,0.441176470588235,0.125144680545276,1104072,0.283686615771538,3
"성동구","옥수동",0.458226696240687,0.0511295361691901,0.022895259755104,0.485981308411215,0,0.372549019607843,0.267596661960796,1104073,0.299294251899922,3
"광진구","중곡3동",0.308366035375078,0.0771449170872386,0.0249702525746909,0.230529595015576,0,0.205882352941176,0.221986728805607,1105057,0.164025676702744,3
